YEAR,PERIOD,UNIT_CODE,UNIT_TITLE,DELIVERY_UNIT,FULL_PERIOD_NUM,CLASS_SIZE,CLASS_BOXPLOT
2021,H1B3,NBC2002,Building regulations,NBC2002-2021-H1B3,2021130,34,"{""q1"": 63.0, ""median"": 68.0, ""q3"": 73.0, ""whisker_low"": 51.0, ""whisker_high"": 85.0, ""outliers"": [46.0, 45.0, 0.0, 0.0]}"
2021,H1B3,NBC3001,High rise development and compliance,NBC3001-2021-H1B3,2021130,28,"{""q1"": 62.25, ""median"": 76.5, ""q3"": 82.0, ""whisker_low"": 57.0, ""whisker_high"": 92.0, ""outliers"": [23.0, 0.0, 16.0, 0.0]}"
2021,H1B3,NBC3006,Construction site operations,NBC3006-2021-H1B3,2021130,19,"{""q1"": 56.0, ""median"": 62.0, ""q3"": 68.5, ""whisker_low"": 51.0, ""whisker_high"": 80.0, ""outliers"": [13.0]}"
2021,H1B3,NBC3101,Project management practice,NBC3101-2021-H1B3,2021130,28,"{""q1"": 59.25, ""median"": 70.0, ""q3"": 73.0, ""whisker_low"": 50.0, ""whisker_high"": 88.0, ""outliers"": [0.0, 33.0]}"
2021,H1B3,NBC3204,Complex construction,NBC3204-2021-H1B3,2021130,36,"{""q1"": 64.0, ""median"": 69.0, ""q3"": 75.0, ""whisker_low"": 50.0, ""whisker_high"": 88.0, ""outliers"": [0.0, 16.0]}"
2021,H1B3,NBC4001,Procurement management,NBC4001-2021-H1B3,2021130,24,"{""q1"": 67.25, ""median"": 75.0, ""q3"": 82.0, ""whisker_low"": 51.0, ""whisker_high"": 91.0, ""outliers"": []}"
2021,H1B3,NBC4002,Advanced construction,NBC4002-2021-H1B3,2021130,30,"{""q1"": 68.25, ""median"": 79.0, ""q3"": 82.75, ""whisker_low"": 65.0, ""whisker_high"": 96.0, ""outliers"": [42.0, 0.0]}"
2021,H1B3,NBD1100,Built environment communication and skills,NBD1100-2021-H1B3,2021130,36,"{""q1"": 72.0, ""median"": 77.5, ""q3"": 81.0, ""whisker_low"": 60.0, ""whisker_high"": 84.0, ""outliers"": [0.0, 0.0, 57.0, 22.0, 31.0]}"
2021,H1B3,NBD1101,Building design documentation,NBD1101-2021-H1B3,2021130,18,"{""q1"": 35.25, ""median"": 83.5, ""q3"": 87.5, ""whisker_low"": 0.0, ""whisker_high"": 96.0, ""outliers"": []}"
2021,H1B3,NBD2002,Building contract documentation,NBD2002-2021-H1B3,2021130,26,"{""q1"": 66.0, ""median"": 73.5, ""q3"": 77.0, ""whisker_low"": 62.0, ""whisker_high"": 84.0, ""outliers"": [0.0]}"
2021,H1B3,NBD2100,Built environment 1,NBD2100-2021-H1B3,2021130,25,"{""q1"": 71.0, ""median"": 77.0, ""q3"": 83.0, ""whisker_low"": 60.0, ""whisker_high"": 95.0, ""outliers"": [16.0]}"
2021,H1B3,NBD3001,Risk and safety management,NBD3001-2021-H1B3,2021130,17,"{""q1"": 74.0, ""median"": 76.0, ""q3"": 81.0, ""whisker_low"": 64.0, ""whisker_high"": 86.0, ""outliers"": []}"
2021,H1B3,NEA2201,Building development and compliance,NEA2201-2021-H1B3,2021130,30,"{""q1"": 61.0, ""median"": 70.0, ""q3"": 76.0, ""whisker_low"": 50.0, ""whisker_high"": 87.0, ""outliers"": [6.0, 3.0]}"
2021,H1B3,NEC2104,Engineering surveying,NEC2104-2021-H1B3,2021130,23,"{""q1"": 60.5, ""median"": 70.0, ""q3"": 81.0, ""whisker_low"": 52.0, ""whisker_high"": 90.0, ""outliers"": [25.0]}"
2021,H1B3,NEC2203,Hydraulics,NEC2203-2021-H1B3,2021130,1,{}
2021,H1B3,NEC3102,Geotechnical engineering,NEC3102-2021-H1B3,2021130,32,"{""q1"": 56.75, ""median"": 63.0, ""q3"": 67.0, ""whisker_low"": 47.0, ""whisker_high"": 74.0, ""outliers"": [84.0, 87.0, 89.0]}"
2021,H1B3,NEC4102,Structural engineering design 2,NEC4102-2021-H1B3,2021130,34,"{""q1"": 57.75, ""median"": 66.5, ""q3"": 75.75, ""whisker_low"": 34.0, ""whisker_high"": 88.0, ""outliers"": []}"
2021,H1B3,NEE2110,Engineering design and practice 2A,NEE2110-2021-H1B3,2021130,18,"{""q1"": 66.5, ""median"": 77.0, ""q3"": 81.75, ""whisker_low"": 50.0, ""whisker_high"": 97.0, ""outliers"": []}"
2021,H1B3,NEE3103,Electrical machines,NEE3103-2021-H1B3,2021130,22,"{""q1"": 52.25, ""median"": 67.5, ""q3"": 81.5, ""whisker_low"": 12.0, ""whisker_high"": 95.0, ""outliers"": []}"
2021,H1B3,NEE4110,"Electrical power systems, analysis and operation",NEE4110-2021-H1B3,2021130,40,"{""q1"": 62.75, ""median"": 68.5, ""q3"": 78.0, ""whisker_low"": 50.0, ""whisker_high"": 97.0, ""outliers"": [37.0]}"
2021,H1B3,NEF1102,Engineering physics 1,NEF1102-2021-H1B3,2021130,36,"{""q1"": 66.0, ""median"": 75.0, ""q3"": 87.5, ""whisker_low"": 41.0, ""whisker_high"": 100.0, ""outliers"": [11.0, 12.0, 1.0]}"
